1720057,D F2 L2 U B R2 B' D2 R' B2 L U L F U'
2023087,U' L U' F' U B2 R' B2 L' B' D R2 U D2 B R
204907,U2 L F' R F L' B' D B' D' L2 D' F2 D2 L2 B2
1113997,U' F' R' D2 R B2 R' B2 L' B' U2 B' L' U2 D F' D
1854737,U B' D' F2 R' F2 D' L D' L' D' R B R U'
2157767,R' L' B L2 U2 L' B R B2 R' U R U2 R2 U2
339587,L F R' U F U' R' L' F2 U2 B U B' U2 F2 U R
1248677,U' B U' B2 D' R' U2 B' L2 F U F2 R2 D R L2 U
642617,U' B U R' D' F' B L B2 L' F D F' B' R' F D2
945647,U2 R' B L2 F2 R L' U R2 L F' R L2 U B' U2 R'
1551707,U2 D2 F' L F D2 L2 F' R' F R2 D' F' L D L
36557,R U2 F' R' U2 R2 F' U' F' R2 F' R' U2 R2 U'
831169,U R B U' B' D' L2 U2 L' F L' D2 R U2 R D'
1134199,U2 R2 U B2 D2 F' B' U' B L' F' L' F2 D2 B2 R U
1740259,R B' D L2 U F U' B L2 D2 F L2 F' U2 L2 D'
225109,R B' R D' B' D' B' L U L U' F' U' F L2 B' R
2043289,U' B2 R2 U' R L2 D' L' U2 R F R' F2 L' B U' B'
2346319,U2 F U2 F' R2 F' U2 F' R' U' F R2 F2 U2 R F U'
528139,U2 L2 F' D' R2 D F D R2 L D B' D' B R L
1437229,U R' F U' R2 U' F2 R2 U' F2 U2 F' U' B' R' B R'
561809,U2 R' D R2 U2 B U' D2 L2 U' F L2 D2 R2 D'
864839,B' R2 B U2 R2 U R2 U2 R U2 R B' R B2 U' B'
1470899,R L2 U' B' R2 D R2 D' R2 D2 B U L2 U2 R2 U2 R2
2379989,B U2 L' B2 R' F' R' F2 B' D' F' L B' U' B' R
1773929,R' B' D F' D' B' R2 B U D R' B' R' F D2 B2 U2
2076959,R2 B2 L2 F' D2 L D' B R' D' R B' L B' U' B' R
258779,U' F' U' R' D2 B' D2 R2 F' U R2 U' D' L2 D2 B' D'
1167869,F' D' B' L F2 U B L2 U L2 D R L' U2 D B D'
23089,L' B' L U R' B2 U' F2 R' B' R D L' B2 D' F2
326119,D' R D2 B D' F' U F2 R F' L' B L2 U L'
932179,U D2 L2 B2 D L F' U' R F R' F' R' U2 L D
1841269,F' L' F2 L2 B D2 B2 D' B' L2 F2 B2 R' U' L U' F
1235209,B' L2 F D' B' U' L' U F' B2 R' B' L2 B U F' U'
1538239,U' B' U2 L F' R F2 L F2 B' L B' U R2 B' L F2
2144299,U2 B U' F B2 U F2 U' R2 F' D' R2 D B U2 R
629149,R F' L2 D L U L' B D' B D B D' R B2 L2 F
1369889,R U R2 B' R B2 U' D2 F' L U L F D2 B'
1672919,U B' R' B R' F' U2 B U F B2 R' B U' R2 U' R2
2278979,R' U2 R2 U' R2 F U' F U F' R2 F' R2 U' R2 U' F
763829,R' L F L' U' R2 U2 R2 B' R F R2 F' R2 B2 U B' R2
157769,R U2 L D' F' D2 R D' L F' R F L' D' F2 D F' L'
460799,F' L2 B2 D2 R' B L2 U' F' L U' R U D' R' D' L'
1066859,F' D' L2 U F' D2 L U L' U B' D' R' F2 U F
1975949,F R2 B' D F R F2 D2 F2 R' F' R2 B' D' F' B2 R'
2285713,U2 F' R F R' L2 U2 L2 F D' F' D' R2 U2 D2
164503,U R2 U' B' R' B2 U2 B' U2 L' U R' U' R2 L
770563,R F' L' U R' B' R2 U2 B R L U2 F R U'
1679653,B' D2 B2 R' L' F' U2 B2 D' R2 D' R2 D' L' B U'
1073593,L2 D' L' U F' U L D R D R' D' R F2 R2 F2 L2
1376623,R F' U R F' R F' R U' F' R2 U D' F' D F' U'
1982683,D B' U2 B2 R U F' U' B' L2 F' U B2 L2 U' F2
467533,U' D' F D R L2 F2 B' L2 F' D2 B' U2 F2 D2 R B
2016353,F B' R2 F' R' U F2 L F' D F2 L' F U' R' B
2319383,R' B' R2 B2 U2 L F2 L F2 L2 B' R' U' R U2 R
501203,L2 F' R' F2 B U' R2 D L2 U F' B R2 F2 R D2 L2
1410293,F2 L2 B' D B2 D B' L F' U2 F L U2 R F' U
804233,U B' R2 B U F' D R' D' R' U2 F2 R' F' U' F'
1107263,L2 D' B2 D' R B' L' F D L2 B2 U' B R2 B2 L U'
1713323,U F' U' F' R U' R F2 R2 F' R2 U F R' F2 U2
198173,R' U2 B U2 B' D B' L' B D2 F2 B L B' R' U D
1477633,D B2 U' B' R' U B' U' D' R' F' R2 U2 F U
1780663,U' R2 B U' B' R2 U' R' F' U2 F R' U' R2 U' R'
2386723,B' L2 F2 D2 L2 B R' B R' U' F2 B' R F' R' F2
871573,F2 R U' R F2 U F' R U2 F2 R' F R' F2 U R U'
265513,D F2 L2 D L B2 L' D2 B' L2 F U F R D'
568543,U' R' B' L' D R' U' B' D2 B D' B' U D L B U
1174603,L F2 D' F D R2 U2 D B2 D L B2 U2 D2 L'
2083693,F' U R F2 U' F B U' F B' R U F2 U' R F2 U
400193,U2 R' U' B2 U2 B D B' D2 R' D R U2 B2 U'
703223,B' R' F B D' R2 F' U R2 U' F R2 D R F' R
1309283,L D' F' U2 D2 B' D B' D' B2 U2 R D' R2 F L' U2
2218373,U' R2 B L' B L B2 L F R F' L B' D' B L2 U2
